"","SASID","Grade","City","Postal Code","Assignment Type","Growth Proficiency Category","SGP (Expectation=50)","Test 1 Benchmark Category","Test 2 Benchmark Category","Test 1 PR","Test 2 PR","IEP","TS Placement"
"1",1014431837,5,"Sandwich","02563","Star Math","Low Growth, High Proficiency",4,"At/Above Benchmark","At/Above Benchmark",98,86,0,"Gen Ed"
"2",1067278432,5,"Wareham","02571","Star Math","Low Growth, Low Proficiency",13,"On Watch","Intervention",25,15,0,"Gen Ed"
"3",1048767131,5,"Plymouth","02360","Star Math","Low Growth, High Proficiency",43,"At/Above Benchmark","At/Above Benchmark",88,87,0,"Gen Ed"
"4",1032499833,5,"Plymouth","02360","Star Math","Low Growth, High Proficiency",36,"At/Above Benchmark","At/Above Benchmark",85,83,0,"Gen Ed"
"5",1078498833,5,"Plymouth","02360","Star Math","Low Growth, High Proficiency",30,"At/Above Benchmark","At/Above Benchmark",75,71,0,"Gen Ed"
"6",1012590832,5,"Plymouth","02360","Star Math","High Growth, High Proficiency",75,"On Watch","At/Above Benchmark",31,58,1,"Learning Specialist"
"7",1026591232,5,"Mattapoisett","02739","Star Math","Low Growth, Low Proficiency",28,"Urgent Intervention","Urgent Intervention",4,4,1,"Learning Specialist"
"8",1031108242,5,"Pembroke","02359","Star Math","Low Growth, High Proficiency",15,"At/Above Benchmark","At/Above Benchmark",85,73,0,"Gen Ed"
"9",1094368735,5,"Fall River","02721","Star Math","Low Growth, High Proficiency",30,"At/Above Benchmark","At/Above Benchmark",49,45,1,"Learning Specialist"
"10",1036952436,5,"Plymouth","02360","Star Math","High Growth, High Proficiency",51,"At/Above Benchmark","At/Above Benchmark",80,83,0,"Tier 1 Math Gen Ed"
"11",1025499835,5,"Plymouth","02360","Star Math","High Growth, High Proficiency",70,"At/Above Benchmark","At/Above Benchmark",76,87,0,"Gen Ed"
"12",1002735347,5,"Hanover","02339","Star Math","High Growth, High Proficiency",79,"At/Above Benchmark","At/Above Benchmark",89,95,0,"Gen Ed"
"13",1036305145,5,"Mashpee","02649","Star Math","High Growth, High Proficiency",99,"At/Above Benchmark","At/Above Benchmark",62,98,0,"Gen Ed"
"14",1077906238,5,"Wareham","02538","Star Math","High Growth, High Proficiency",69,"At/Above Benchmark","At/Above Benchmark",80,89,0,"Gen Ed"
"15",1028130434,5,"Plymouth","02360","Star Math","Low Growth, Low Proficiency",4,"At/Above Benchmark","On Watch",70,38,1,"Tier 1 ELA Gen Ed"
"16",1001331437,5,"Plymouth","02360","Star Math","Low Growth, High Proficiency",9,"At/Above Benchmark","At/Above Benchmark",64,42,0,"Gen Ed"
"17",NA,5,NA,NA,"Star Math","High Growth, High Proficiency",52,"At/Above Benchmark","At/Above Benchmark",81,84,0,"Gen Ed"
"18",1078958531,5,"Wareham","02558","Star Math","Low Growth, Low Proficiency",24,"Urgent Intervention","Urgent Intervention",1,1,1,"Learning Specialist"
"19",1031499832,5,"Plymouth","02360","Star Math","High Growth, High Proficiency",54,"At/Above Benchmark","At/Above Benchmark",85,88,0,"Gen Ed"
"20",1067499832,5,"Plymouth","02360","Star Math","Low Growth, Low Proficiency",7,"On Watch","Intervention",39,19,0,"Gen Ed"
"21",1016598936,5,"Kingston","02364","Star Math","High Growth, High Proficiency",74,"At/Above Benchmark","At/Above Benchmark",47,70,0,"Gen Ed"
"22",1041961432,5,"Kingston","02364","Star Math","High Growth, High Proficiency",54,"At/Above Benchmark","At/Above Benchmark",67,76,0,"Gen Ed"
"23",1012034430,5,"Halifax","02338","Star Math","High Growth, High Proficiency",94,"At/Above Benchmark","At/Above Benchmark",84,96,0,"Gen Ed"
"24",1022800342,5,"Bourne","02532","Star Math","Low Growth, Low Proficiency",2,"At/Above Benchmark","Intervention",67,24,1,"Tier 1 ELA Gen Ed"
"25",1069993034,5,"Barnstable","02601","Star Math","Low Growth, High Proficiency",4,"At/Above Benchmark","At/Above Benchmark",86,58,0,"Gen Ed"
"26",1056108240,5,"Pembroke","02359","Star Math","Low Growth, Low Proficiency",2,"Urgent Intervention","Urgent Intervention",5,1,1,"Learning Specialist"
"27",1001995334,5,"Plymouth","02360","Star Math","Low Growth, Low Proficiency",14,"At/Above Benchmark","On Watch",49,31,0,"Gen Ed"
"28",1057037837,5,"Plymouth","02360","Star Math","Low Growth, High Proficiency",9,"At/Above Benchmark","At/Above Benchmark",98,91,0,"Gen Ed"
"29",1068435538,5,"Wareham","02538","Star Math","High Growth, High Proficiency",75,"At/Above Benchmark","At/Above Benchmark",88,94,0,"Gen Ed"
"30",1094778246,5,"Plymouth","02360","Star Math","Low Growth, High Proficiency",35,"At/Above Benchmark","At/Above Benchmark",85,83,0,"Tier 1 Math Gen Ed"
"31",1098651431,5,"Plymouth","02360","Star Math","Low Growth, Low Proficiency",49,"Intervention","Intervention",17,23,0,"Gen Ed"
"32",1022574431,5,"Plymouth","02360","Star Math","Low Growth, Low Proficiency",26,"On Watch","On Watch",31,28,0,"Tier 1 ELA Gen Ed"
"33",1084634436,5,"Plymouth","02360","Star Math","High Growth, High Proficiency",52,"At/Above Benchmark","At/Above Benchmark",56,66,0,"Tier 1 ELA Gen Ed"
"34",1011095831,5,"Wareham","02538","Star Math","Low Growth, High Proficiency",5,"At/Above Benchmark","At/Above Benchmark",91,71,0,"Gen Ed"
"35",1002800340,5,"Bourne","02562","Star Math","High Growth, High Proficiency",57,"At/Above Benchmark","At/Above Benchmark",86,89,0,"Gen Ed"
"36",1004150531,5,"Wareham","02538","Star Math","Low Growth, High Proficiency",24,"At/Above Benchmark","At/Above Benchmark",53,46,0,"Gen Ed"
"37",1096998636,5,"Plymouth","02360","Star Math","Low Growth, High Proficiency",2,"At/Above Benchmark","At/Above Benchmark",97,79,0,"Gen Ed"
"38",1080095837,5,"Wareham","02558","Star Math","High Growth, High Proficiency",75,"At/Above Benchmark","At/Above Benchmark",51,74,0,"Gen Ed"
"39",1060895935,5,"Plymouth","02360","Star Math","Low Growth, High Proficiency",40,"At/Above Benchmark","At/Above Benchmark",94,93,0,"Gen Ed"
"40",1059161231,5,"Pembroke","02359","Star Math","High Growth, High Proficiency",93,"At/Above Benchmark","At/Above Benchmark",67,92,0,"Gen Ed"
"41",1091499838,5,"Plymouth","02360","Star Math","High Growth, High Proficiency",69,"At/Above Benchmark","At/Above Benchmark",46,66,1,"Learning Specialist"
"42",1086898735,5,"Marshfield","02050","Star Math","Low Growth, Low Proficiency",22,"At/Above Benchmark","On Watch",40,32,1,"Learning Specialist"
"43",1032009142,5,"Carver","02330","Star Math","Low Growth, Low Proficiency",16,"Urgent Intervention","Urgent Intervention",7,4,1,"Tier 1 Math Gen Ed"
"44",1079330231,5,"Marshfield","02050","Star Math","Low Growth, Low Proficiency",3,"At/Above Benchmark","On Watch",67,31,1,"Learning Specialist"
"45",1041099434,5,"Plymouth","02360","Star Math","Low Growth, High Proficiency",23,"At/Above Benchmark","At/Above Benchmark",88,81,0,"Gen Ed"
"46",1017443035,5,"Barnstable","02648","Star Math","High Growth, High Proficiency",60,"At/Above Benchmark","At/Above Benchmark",49,62,0,"Gen Ed"
"47",1044135742,5,"Plymouth","02360","Star Math","High Growth, High Proficiency",82,"At/Above Benchmark","At/Above Benchmark",57,82,0,"Gen Ed"
"48",1053774246,5,"Barnstable","02648","Star Math","High Growth, High Proficiency",65,"At/Above Benchmark","At/Above Benchmark",56,72,0,"Gen Ed"
"49",1055448134,5,"Plymouth","02360","Star Math","Low Growth, Low Proficiency",36,"Intervention","Intervention",16,17,0,"Tier 1 ELA Gen Ed"
"50",1056032032,5,"Wareham","02576","Star Math","Low Growth, Low Proficiency",20,"Intervention","Intervention",23,16,1,"Learning Specialist"
"51",1092367135,5,"Plymouth","02360","Star Math","Low Growth, High Proficiency",26,"At/Above Benchmark","At/Above Benchmark",66,61,1,"Learning Specialist"
"52",1092072341,5,"Wareham","02538","Star Math","High Growth, High Proficiency",78,"On Watch","At/Above Benchmark",38,66,0,"Gen Ed"
"53",NA,5,NA,NA,"Star Math","Low Growth, High Proficiency",10,"At/Above Benchmark","At/Above Benchmark",88,72,0,"Gen Ed"
"54",1060318844,5,"Middleborough","02346","Star Math","High Growth, High Proficiency",61,"At/Above Benchmark","At/Above Benchmark",69,80,0,"Tier 1 ELA Gen Ed"
"55",1044886342,5,"Bourne","02562","Star Math","Low Growth, Low Proficiency",23,"On Watch","Intervention",31,23,0,"Tier 1 ELA Gen Ed"
"56",1044072347,5,"Bourne","02562","Star Math","High Growth, High Proficiency",72,"On Watch","At/Above Benchmark",26,49,0,"Gen Ed"
"57",1074901048,5,"Plymouth","02360","Star Math","High Growth, High Proficiency",60,"At/Above Benchmark","At/Above Benchmark",67,79,0,"Gen Ed"
"58",1068008141,5,"Carver","02330","Star Math","Low Growth, Low Proficiency",19,"Urgent Intervention","Urgent Intervention",5,4,1,"Learning Specialist"
"59",1053606341,5,"Carver","02330","Star Math","High Growth, High Proficiency",93,"At/Above Benchmark","At/Above Benchmark",66,93,0,"Gen Ed"
"60",1000009146,5,"Carver","02330","Star Math","Low Growth, Low Proficiency",29,"Intervention","Intervention",19,17,0,"Tier 1 Math Gen Ed"
"61",1061708837,5,"Wareham","02571","Star Math","Low Growth, Low Proficiency",10,"On Watch","Intervention",33,17,0,"Gen Ed"
"62",1003011930,5,"Falmouth","02536","Star Math","Low Growth, Low Proficiency",13,"On Watch","Intervention",26,15,1,"Tier 1 Math Gen Ed"
"63",1030560434,5,"Mashpee","02649","Star Math","Low Growth, Low Proficiency",42,"Intervention","Intervention",18,22,0,"Tier 1 Math Gen Ed"
"64",1006798634,5,"Halifax","02338","Star Math","Low Growth, High Proficiency",28,"At/Above Benchmark","At/Above Benchmark",82,78,0,"Gen Ed"
"65",1090705342,5,"Plymouth","02360","Star Math","High Growth, Low Proficiency",60,"Intervention","On Watch",19,31,0,"Gen Ed"
"66",1040337437,5,"Plymouth","02360","Star Math","Low Growth, Low Proficiency",19,"On Watch","On Watch",36,26,0,"Tier 1 Math Gen Ed"
"67",1099468631,5,"Falmouth","02540","Star Math","Low Growth, High Proficiency",26,"At/Above Benchmark","At/Above Benchmark",72,66,0,"Tier 1 Math Gen Ed"
"68",1007918346,5,"Plymouth","02360","Star Math","High Growth, High Proficiency",96,"Intervention","At/Above Benchmark",24,74,0,"Gen Ed"
"69",1027591830,5,"Halifax","02338","Star Math","Low Growth, Low Proficiency",5,"At/Above Benchmark","On Watch",56,27,0,"Gen Ed"
"70",1099735334,5,"Mashpee","02649","Star Math","Low Growth, Low Proficiency",34,"Urgent Intervention","Urgent Intervention",4,5,1,"Learning Specialist"
"71",1057894738,5,"Sandwich","02563","Star Math","High Growth, High Proficiency",52,"At/Above Benchmark","At/Above Benchmark",98,97,0,"Gen Ed"
"72",1078651438,5,"Plympton","02367","Star Math","Low Growth, Low Proficiency",18,"Intervention","Urgent Intervention",14,9,1,"Learning Specialist"
"73",1077103045,5,"Plymouth","02360","Star Math","High Growth, High Proficiency",73,"At/Above Benchmark","At/Above Benchmark",70,86,0,"Gen Ed"
"74",1092591832,5,"Plymouth","02360","Star Math","High Growth, High Proficiency",79,"At/Above Benchmark","At/Above Benchmark",88,94,0,"Gen Ed"
"75",1037576430,5,"Plymouth","02360","Star Math","High Growth, High Proficiency",88,"At/Above Benchmark","At/Above Benchmark",91,97,0,"Gen Ed"
"76",1068794436,5,"Wareham","02532","Star Math","High Growth, High Proficiency",76,"At/Above Benchmark","At/Above Benchmark",60,80,0,"Gen Ed"
"77",1011034236,5,"Middleborough","02346","Star Math","High Growth, Low Proficiency",57,"Intervention","On Watch",24,36,1,"Learning Specialist"
"78",1005222442,5,"Carver","02330","Star Math","High Growth, High Proficiency",91,"Intervention","At/Above Benchmark",18,59,0,"Tier 1 Math Gen Ed"
"79",1058432534,5,"Wareham","02571","Star Math","Low Growth, High Proficiency",38,"At/Above Benchmark","At/Above Benchmark",51,51,0,"Tier 1 ELA Gen Ed"
"80",1067590833,5,"Pembroke","02359","Star Math","Low Growth, Low Proficiency",2,"At/Above Benchmark","Intervention",51,15,0,"Tier 1 ELA Gen Ed"
"81",1011593834,5,"Pembroke","02359","Star Math","Low Growth, Low Proficiency",13,"At/Above Benchmark","Intervention",40,24,0,"Tier 1 Math Gen Ed"
"82",1057008148,5,"Carver","02330","Star Math","Low Growth, Low Proficiency",1,"Intervention","Urgent Intervention",13,1,0,"Tier 1 ELA Gen Ed"
"83",1057193436,5,"Wareham","02571","Star Math","Low Growth, High Proficiency",43,"On Watch","At/Above Benchmark",37,41,1,"Tier 1 ELA Gen Ed"
"84",1021591833,5,"Plymouth","02360","Star Math","Low Growth, High Proficiency",24,"At/Above Benchmark","At/Above Benchmark",99,97,0,"Gen Ed"
"85",1022590833,5,"Plymouth","02360","Star Math","High Growth, High Proficiency",87,"At/Above Benchmark","At/Above Benchmark",97,99,0,"Gen Ed"
"86",1038779245,5,"Plymouth","02360","Star Math","Low Growth, Low Proficiency",12,"On Watch","Intervention",38,23,0,"Gen Ed"
"87",1052499835,5,"Kingston","02364","Star Math","Low Growth, High Proficiency",32,"At/Above Benchmark","At/Above Benchmark",53,50,0,"Tier 1 ELA Gen Ed"
"88",1006020437,6,"Lakeville","02347","Star Math","High Growth, Low Proficiency",85,"Urgent Intervention","Intervention",4,16,1,"Tier 1 Math Gen Ed"
"89",1075766130,6,"Plymouth","02360","Star Math","Low Growth, Low Proficiency",31,"Intervention","Intervention",15,13,1,"Learning Specialist"
"90",1057764137,6,"Wareham","02538","Star Math","Low Growth, High Proficiency",33,"At/Above Benchmark","At/Above Benchmark",54,49,0,"Tier 1 Math Gen Ed"
